Name,Ratings,Vote Count,Watch Time,Release Year
The Shawshank Redemption,9.3, 3.1M,2h 22m,1994
The Godfather,9.2, 2.1M,2h 55m,1972
The Dark Knight,9.0, 3M,2h 32m,2008
The Godfather Part II,9.0, 1.4M,3h 22m,1974
12 Angry Men,9.0, 937K,1h 36m,1957
The Lord of the Rings: The Return of the King,9.0, 2.1M,3h 21m,2003
Schindler's List,9.0, 1.5M,3h 15m,1993
Pulp Fiction,8.8, 2.4M,2h 34m,1994
The Lord of the Rings: The Fellowship of the Ring,8.9, 2.1M,2h 58m,2001
"The Good, the Bad and the Ugly",8.8, 861K,2h 58m,1966
Forrest Gump,8.8, 2.4M,2h 22m,1994
The Lord of the Rings: The Two Towers,8.8, 1.9M,2h 59m,2002
Fight Club,8.8, 2.5M,2h 19m,1999
Inception,8.8, 2.7M,2h 28m,2010
Star Wars: Episode V - The Empire Strikes Back,8.7, 1.5M,2h 4m,1980
The Matrix,8.7, 2.2M,2h 16m,1999
Goodfellas,8.7, 1.3M,2h 25m,1990
Interstellar,8.7, 2.4M,2h 49m,2014
One Flew Over the Cuckoo's Nest,8.7, 1.1M,2h 13m,1975
Se7en,8.6, 1.9M,2h 7m,1995
It's a Wonderful Life,8.6, 531K,2h 10m,1946
The Silence of the Lambs,8.6, 1.6M,1h 58m,1991
Seven Samurai,8.6, 388K,3h 27m,1954
Saving Private Ryan,8.6, 1.6M,2h 49m,1998
The Green Mile,8.6, 1.5M,3h 9m,1999
City of God,8.6, 843K,2h 10m,2002
Life Is Beautiful,8.6, 784K,1h 56m,1997
Terminator 2: Judgment Day,8.6, 1.2M,2h 17m,1991
Star Wars: Episode IV - A New Hope,8.6, 1.5M,2h 1m,1977
Back to the Future,8.5, 1.4M,1h 56m,1985
Spirited Away,8.6, 920K,2h 4m,2001
The Pianist,8.5, 975K,2h 30m,2002
Gladiator,8.5, 1.8M,2h 35m,2000
Parasite,8.5, 1.1M,2h 12m,2019
Psycho,8.5, 758K,1h 49m,1960
The Lion King,8.5, 1.2M,1h 28m,1994
Grave of the Fireflies,8.5, 355K,1h 28m,1988
The Departed,8.5, 1.5M,2h 31m,2006
Whiplash,8.5, 1.1M,1h 46m,2014
Harakiri,8.6, 81K,2h 13m,1962
The Prestige,8.5, 1.5M,2h 10m,2006
American History X,8.5, 1.2M,1h 59m,1998
Léon: The Professional,8.5, 1.3M,1h 50m,1994
Spider-Man: Across the Spider-Verse,8.5, 467K,2h 20m,2023
Casablanca,8.5, 636K,1h 42m,1942
The Usual Suspects,8.5, 1.2M,1h 46m,1995
Cinema Paradiso,8.5, 304K,2h 54m,1988
The Intouchables,8.5, 986K,1h 52m,2011
Alien,8.5, 1M,1h 57m,1979
Modern Times,8.5, 275K,1h 27m,1936
Rear Window,8.5, 551K,1h 52m,1954
Once Upon a Time in the West,8.5, 371K,2h 46m,1968
Django Unchained,8.5, 1.8M,2h 45m,2012
